200 200
0 1 5
1 2 4
2 3 7
3 4 6
4 5 10
5 6 6
6 7 10
7 8 9
8 9 7
9 10 4
10 11 9
11 12 8
12 13 3
13 14 4
14 15 8
15 16 2
16 17 3
17 18 3
18 19 8
19 20 7
20 21 1
21 22 9
22 23 2
23 24 5
24 25 6
25 26 2
26 27 4
27 28 7
28 29 7
29 30 9
30 31 9
31 32 8
32 33 9
33 34 3
34 35 4
35 36 7
36 37 8
37 38 8
38 39 3
39 40 3
40 41 7
41 42 1
42 43 4
43 44 10
44 45 6
45 46 9
46 47 6
47 48 3
48 49 3
49 50 1
50 51 9
51 52 7
52 53 1
53 54 2
54 55 10
55 56 7
56 57 10
57 58 5
58 59 8
59 60 8
60 61 1
61 62 8
62 63 1
63 64 9
64 65 7
65 66 8
66 67 3
67 68 10
68 69 9
69 70 10
70 71 4
71 72 6
72 73 2
73 74 7
74 75 1
75 76 8
76 77 7
77 78 8
78 79 9
79 80 6
80 81 6
81 82 1
82 83 2
83 84 8
84 85 8
85 86 4
86 87 10
87 88 9
88 89 2
89 90 6
90 91 6
91 92 10
92 93 3
93 94 3
94 95 10
95 96 5
96 97 3
97 98 6
98 99 10
99 100 3
100 101 5
101 102 4
102 103 9
103 104 1
104 105 5
105 106 8
106 107 8
107 108 8
108 109 4
109 110 8
110 111 4
111 112 4
112 113 6
113 114 6
114 115 3
115 116 10
116 117 10
117 118 2
118 119 7
119 120 9
120 121 9
121 122 9
122 123 7
123 124 3
124 125 7
125 126 8
126 127 6
127 128 5
128 129 5
129 130 8
130 131 10
131 132 8
132 133 5
133 134 3
134 135 9
135 136 2
136 137 10
137 138 6
138 139 9
139 140 5
140 141 1
141 142 4
142 143 2
143 144 5
144 145 3
145 146 6
146 147 10
147 148 2
148 149 8
149 150 10
150 151 2
151 152 6
152 153 5
153 154 5
154 155 4
155 156 7
156 157 4
157 158 3
158 159 3
159 160 4
160 161 2
161 162 2
162 163 6
163 164 7
164 165 7
165 166 7
166 167 1
167 168 5
168 169 7
169 170 8
170 171 7
171 172 10
172 173 6
173 174 5
174 175 1
175 176 10
176 177 4
177 178 8
178 179 2
179 180 4
180 181 9
181 182 5
182 183 3
183 184 5
184 185 2
185 186 2
186 187 6
187 188 10
188 189 4
189 190 6
190 191 5
191 192 8
192 193 1
193 194 2
194 195 9
195 196 4
196 197 3
197 198 5
198 199 5
199 0 5
