100 8910
0 60 10
0 54 3
0 37 4
0 53 8
0 31 6
0 78 2
0 29 5
0 93 8
0 43 5
0 65 7
0 17 6
0 39 3
0 27 4
0 42 3
0 16 3
0 58 8
0 80 7
0 67 9
0 34 2
0 45 2
0 95 5
0 24 4
0 49 6
0 20 7
0 92 4
0 23 5
0 14 9
0 7 3
0 84 9
0 11 10
0 38 4
0 55 1
0 81 7
0 19 9
0 33 9
0 41 5
0 89 4
0 66 4
0 4 1
0 21 9
0 2 7
0 70 9
0 76 5
0 22 2
0 26 7
0 62 8
0 13 7
0 59 8
0 6 7
0 68 10
0 18 6
0 10 10
0 50 2
0 12 7
0 52 5
0 74 2
0 99 10
0 97 7
0 72 4
0 56 9
0 85 4
0 64 5
0 47 4
0 30 1
0 86 4
0 25 10
0 79 1
0 73 9
0 32 6
0 69 2
0 87 2
0 5 10
0 88 4
0 77 5
0 48 1
0 61 9
0 98 10
0 1 6
0 63 7
0 82 4
0 44 6
0 57 8
0 71 7
0 75 4
0 46 8
0 35 6
0 51 8
0 83 5
0 15 3
0 96 5
1 75 2
1 63 5
1 28 5
1 30 8
1 87 5
1 98 4
1 3 7
1 88 2
1 53 9
1 50 8
1 91 3
1 26 2
1 95 8
1 46 10
1 18 2
1 81 4
1 20 10
1 93 9
1 0 9
1 69 7
1 77 10
1 59 3
1 42 5
1 84 1
1 99 10
1 43 5
1 34 9
1 12 7
1 52 9
1 19 2
1 10 7
1 76 7
1 32 8
1 65 2
1 17 5
1 92 5
1 9 5
1 11 6
1 39 6
1 64 1
1 16 9
1 56 8
1 66 9
1 47 3
1 86 7
1 78 6
1 74 1
1 5 1
1 2 1
1 61 7
1 55 8
1 29 4
1 13 8
1 71 1
1 83 1
1 73 9
1 79 4
1 4 1
1 94 4
1 21 1
1 14 8
1 89 7
1 15 6
1 60 8
1 35 1
1 51 8
1 22 8
1 68 10
1 31 4
1 90 5
1 23 1
1 80 1
1 57 1
1 49 5
1 62 8
1 24 1
1 67 3
1 72 2
1 54 3
1 33 5
1 7 2
1 45 1
1 58 4
1 97 5
1 40 10
1 25 1
1 8 8
1 44 1
2 82 8
2 90 3
2 16 9
2 65 5
2 89 2
2 60 8
2 21 8
2 91 4
2 75 5
2 40 9
2 94 8
2 67 10
2 19 4
2 74 10
2 52 3
2 10 8
2 43 10
2 26 9
2 32 1
2 70 3
2 20 8
2 13 9
2 97 2
2 33 1
2 95 3
2 96 3
2 11 3
2 31 7
2 34 6
2 9 9
2 25 9
2 0 10
2 29 2
2 83 2
2 47 9
2 80 4
2 59 3
2 51 9
2 22 9
2 71 10
2 57 8
2 87 2
2 98 10
2 56 7
2 76 9
2 38 4
2 58 2
2 86 4
2 30 2
2 93 5
2 7 3
2 73 3
2 53 1
2 44 1
2 24 5
2 66 8
2 8 7
2 3 9
2 72 1
2 63 1
2 84 1
2 1 6
2 49 4
2 54 10
2 28 8
2 64 3
2 81 6
2 15 8
2 35 10
2 78 4
2 41 7
2 6 10
2 99 1
2 77 3
2 55 8
2 48 9
2 42 2
2 85 1
2 18 1
2 14 9
2 5 7
2 27 2
2 92 10
2 79 10
2 4 1
2 69 7
2 12 6
2 36 4
2 37 10
2 50 2
3 8 7
3 37 5
3 73 1
3 48 2
3 27 4
3 33 8
3 25 10
3 60 1
3 72 2
3 92 2
3 71 3
3 98 5
3 20 5
3 17 8
3 10 7
3 7 4
3 86 1
3 21 9
3 18 6
3 28 10
3 77 1
3 88 4
3 96 2
3 51 6
3 22 3
3 19 3
3 43 10
3 34 3
3 82 6
3 84 10
3 57 3
3 9 7
3 91 4
3 59 10
3 1 1
3 16 9
3 42 8
3 6 6
3 69 10
3 38 7
3 4 7
3 14 2
3 29 9
3 36 10
3 94 5
3 75 4
3 56 5
3 35 4
3 81 2
3 64 10
3 12 9
3 89 10
3 47 6
3 58 9
3 76 7
3 45 4
3 97 7
3 24 7
3 68 5
3 41 1
3 95 3
3 23 2
3 39 4
3 74 6
3 78 8
3 15 8
3 99 2
3 49 9
3 79 3
3 90 9
3 63 7
3 5 10
3 31 9
3 40 10
3 13 2
3 67 2
3 93 3
3 66 8
3 0 7
3 32 9
3 70 4
3 62 5
3 53 2
3 80 2
3 55 5
3 52 3
3 44 9
4 67 9
4 86 9
4 11 4
4 92 2
4 14 3
4 3 3
4 91 1
4 99 9
4 77 2
4 63 6
4 46 4
4 54 2
4 51 8
4 94 6
4 16 9
4 2 1
4 59 3
4 80 7
4 68 3
4 76 7
4 75 2
4 27 8
4 87 10
4 52 4
4 21 4
4 8 1
4 61 1
4 55 3
4 97 5
4 36 2
4 25 4
4 96 6
4 60 4
4 7 7
4 85 5
4 38 5
4 79 3
4 70 4
4 35 5
4 73 10
4 33 2
4 23 1
4 32 8
4 5 9
4 69 5
4 57 7
4 29 8
4 20 1
4 45 7
4 0 1
4 31 3
4 50 7
4 90 4
4 83 3
4 28 4
4 17 7
4 62 1
4 82 2
4 71 10
4 66 1
4 74 2
4 1 5
4 98 4
4 26 5
4 44 1
4 58 2
4 78 7
4 56 2
4 53 5
4 24 1
4 6 8
4 47 7
4 42 10
4 88 9
4 10 7
4 48 1
4 41 7
4 89 3
4 18 1
4 30 4
4 65 9
4 19 9
4 49 1
4 84 1
4 37 8
4 34 8
4 12 8
4 22 7
4 95 1
4 9 6
5 21 1
5 40 3
5 23 9
5 1 2
5 20 1
5 74 4
5 18 10
5 86 6
5 27 9
5 54 7
5 30 3
5 98 3
5 8 6
5 15 8
5 93 6
5 43 8
5 22 9
5 79 10
5 56 3
5 4 5
5 55 6
5 59 3
5 10 7
5 28 3
5 58 1
5 26 4
5 36 10
5 83 7
5 78 4
5 57 3
5 84 4
5 72 5
5 31 9
5 29 2
5 62 3
5 42 5
5 12 7
5 64 8
5 16 2
5 92 5
5 73 2
5 34 10
5 69 6
5 87 4
5 19 6
5 99 9
5 9 2
5 49 6
5 32 4
5 89 6
5 66 10
5 48 2
5 67 7
5 45 4
5 24 6
5 53 2
5 6 7
5 75 1
5 3 1
5 85 1
5 47 6
5 38 1
5 39 4
5 76 7
5 60 6
5 71 9
5 25 9
5 41 3
5 95 7
5 37 2
5 33 1
5 77 7
5 7 5
5 14 7
5 94 5
5 51 1
5 13 9
5 81 2
5 0 8
5 90 10
5 82 3
5 61 3
5 70 1
5 35 10
6 90 7
6 63 8
6 81 8
6 9 3
6 16 5
6 91 3
6 11 6
6 87 7
6 53 6
6 95 1
6 25 5
6 29 8
6 45 6
6 5 4
6 2 10
6 68 5
6 99 1
6 55 8
6 96 8
6 20 6
6 57 9
6 36 2
6 97 3
6 10 4
6 79 2
6 65 8
6 82 6
6 0 4
6 32 10
6 1 9
6 77 8
6 39 7
6 38 7
6 52 8
6 73 5
6 84 10
6 42 6
6 4 4
6 74 8
6 19 3
6 76 1
6 28 2
6 56 2
6 49 4
6 46 6
6 23 3
6 86 9
6 24 1
6 92 3
6 35 4
6 34 7
6 50 8
6 94 3
6 54 9
6 62 7
6 67 7
6 27 5
6 14 5
6 64 7
6 60 3
6 48 3
6 70 2
6 78 3
6 17 3
6 85 7
6 69 2
6 75 5
6 93 4
6 7 7
6 22 9
6 21 8
6 8 7
6 41 9
6 80 10
6 15 8
6 61 7
6 37 1
6 18 2
6 44 9
6 3 1
6 66 7
6 58 3
6 13 8
6 59 1
6 88 4
6 26 1
6 12 6
6 98 6
6 40 7
7 10 8
7 4 9
7 83 9
7 55 4
7 50 4
7 56 3
7 36 4
7 37 10
7 2 8
7 30 8
7 16 8
7 75 9
7 38 1
7 52 10
7 73 6
7 0 10
7 11 7
7 74 1
7 17 10
7 34 9
7 32 3
7 69 9
7 25 9
7 23 4
7 79 4
7 64 7
7 81 10
7 45 2
7 61 4
7 5 4
7 70 7
7 58 6
7 24 2
7 28 5
7 96 10
7 68 1
7 49 8
7 14 2
7 42 2
7 13 1
7 72 4
7 97 8
7 26 7
7 47 3
7 44 9
7 9 10
7 76 1
7 86 1
7 3 9
7 66 3
7 41 4
7 85 4
7 59 9
7 51 2
7 19 2
7 12 8
7 39 7
7 8 5
7 35 10
7 31 8
7 18 2
7 91 6
7 92 2
7 27 9
7 84 10
7 57 2
7 53 7
7 29 4
7 95 1
7 94 1
7 22 8
7 62 3
7 99 4
7 20 4
7 80 1
7 82 5
7 21 5
7 67 1
7 71 7
7 46 8
7 87 8
7 43 5
7 78 9
7 98 9
7 54 1
7 60 1
7 65 1
7 77 9
7 33 6
7 90 3
7 1 5
8 51 10
8 81 6
8 88 4
8 93 1
8 20 5
8 67 5
8 35 2
8 89 9
8 30 7
8 15 3
8 71 1
8 43 2
8 73 6
8 33 10
8 32 1
8 64 2
8 10 6
8 85 10
8 48 5
8 52 2
8 1 4
8 45 10
8 99 1
8 79 3
8 31 9
8 5 4
8 69 6
8 26 4
8 37 10
8 44 10
8 2 8
8 21 7
8 11 3
8 27 9
8 60 3
8 34 6
8 91 2
8 61 5
8 54 8
8 0 4
8 12 4
8 42 10
8 16 2
8 97 6
8 65 9
8 6 6
8 7 6
8 80 2
8 70 4
8 98 4
8 57 8
8 92 7
8 38 7
8 56 6
8 28 6
8 68 5
8 19 7
8 13 1
8 49 9
8 74 6
8 76 2
8 72 4
8 14 4
8 83 5
8 96 10
8 41 6
8 9 3
8 84 3
8 94 10
8 18 3
8 82 10
8 36 6
8 17 5
8 78 8
8 62 3
8 58 8
8 50 7
8 86 8
8 39 9
8 47 5
8 59 10
8 29 5
8 87 10
8 40 8
8 23 5
8 63 8
8 66 5
8 75 2
8 46 6
9 91 8
9 96 8
9 26 10
9 45 7
9 46 5
9 34 5
9 89 7
9 6 9
9 47 3
9 92 10
9 38 10
9 61 5
9 60 8
9 21 9
9 87 8
9 57 1
9 25 3
9 86 3
9 30 5
9 73 3
9 74 8
9 23 5
9 37 1
9 85 1
9 15 2
9 32 6
9 53 8
9 35 1
9 77 8
9 84 6
9 72 10
9 67 7
9 10 2
9 16 9
9 70 10
9 78 5
9 27 3
9 83 8
9 28 1
9 4 8
9 51 3
9 11 3
9 44 8
9 81 6
9 58 1
9 29 3
9 24 10
9 7 6
9 33 8
9 19 7
9 48 3
9 59 10
9 31 1
9 66 3
9 94 8
9 64 9
9 71 10
9 43 4
9 20 5
9 93 9
9 56 1
9 76 2
9 36 4
9 98 8
9 99 5
9 68 4
9 63 7
9 50 10
9 54 7
9 18 10
9 65 4
9 12 5
9 17 3
9 79 3
9 0 5
9 75 9
9 13 10
9 3 1
9 95 4
9 55 2
9 8 1
9 42 10
9 88 2
9 69 4
9 62 8
9 49 3
9 80 9
9 1 3
9 22 2
10 70 1
10 14 2
10 26 9
10 19 2
10 95 7
10 1 2
10 15 9
10 27 9
10 87 8
10 61 4
10 43 7
10 30 3
10 82 7
10 80 9
10 83 7
10 37 5
10 40 2
10 45 3
10 85 8
10 31 9
10 47 7
10 64 9
10 55 7
10 3 5
10 88 6
10 8 7
10 67 9
10 29 5
10 98 6
10 63 6
10 60 4
10 4 8
10 99 10
10 81 5
10 69 2
10 11 3
10 24 5
10 2 5
10 52 7
10 65 9
10 42 1
10 72 4
10 0 2
10 9 9
10 41 6
10 68 9
10 73 6
10 94 10
10 58 8
10 17 2
10 22 6
10 93 9
10 16 10
10 91 9
10 86 9
10 18 2
10 66 4
10 62 3
10 75 7
10 89 4
10 35 8
10 56 9
10 48 5
10 7 7
10 92 7
