30 783
0 10 6
0 24 2
0 21 3
0 23 5
0 20 2
0 19 7
0 2 1
0 22 7
0 9 4
0 18 10
0 3 8
0 11 2
0 6 10
0 13 1
0 8 5
0 15 3
0 1 9
0 12 10
0 28 4
0 26 7
0 29 5
0 5 8
0 14 9
0 7 2
0 17 4
0 27 8
0 16 2
1 5 10
1 18 3
1 15 3
1 11 6
1 23 6
1 22 2
1 12 8
1 3 1
1 6 10
1 0 4
1 27 2
1 9 4
1 19 10
1 28 4
1 25 3
1 20 5
1 29 10
1 26 9
1 8 6
1 14 10
1 7 10
1 17 6
1 13 5
1 16 10
1 24 5
1 10 9
2 28 7
2 27 6
2 0 7
2 25 5
2 13 5
2 19 3
2 23 5
2 17 3
2 7 3
2 4 8
2 21 6
2 1 3
2 3 8
2 10 2
2 29 2
2 9 8
2 22 9
2 12 8
2 5 4
2 20 8
2 11 3
2 8 1
2 24 2
2 14 8
2 16 6
3 11 8
3 14 5
3 12 6
3 27 10
3 21 2
3 8 8
3 10 5
3 22 9
3 7 1
3 28 4
3 9 8
3 25 2
3 1 6
3 20 3
3 0 4
3 26 1
3 24 1
3 23 3
3 16 3
3 15 1
3 13 8
3 17 2
3 29 7
3 6 5
3 5 2
3 2 8
4 17 3
4 9 1
4 20 3
4 23 8
4 13 6
4 7 5
4 19 6
4 27 6
4 22 7
4 21 9
4 5 10
4 3 6
4 0 9
4 12 3
4 11 2
4 8 1
4 29 1
4 28 8
4 14 9
4 24 6
4 16 3
4 15 3
4 26 2
4 10 5
4 18 1
5 12 1
5 11 7
5 14 10
5 2 6
5 10 5
5 16 4
5 26 4
5 21 9
5 23 7
5 18 7
5 4 6
5 17 5
5 3 8
5 20 4
5 22 1
5 0 3
5 9 4
5 25 4
5 27 10
5 13 10
5 19 8
5 15 4
5 24 4
5 7 6
5 8 10
6 3 5
6 28 1
6 24 1
6 13 6
6 1 7
6 26 4
6 7 5
6 20 1
6 18 4
6 9 1
6 0 4
6 14 7
6 11 9
6 22 3
6 2 3
6 5 2
6 27 8
6 12 10
6 8 7
6 16 1
6 17 7
6 10 8
6 25 6
6 19 1
6 29 9
6 21 10
6 15 10
6 23 6
7 1 5
7 28 9
7 14 5
7 16 10
7 6 1
7 15 3
7 5 1
7 22 3
7 27 6
7 10 8
7 11 2
7 3 5
7 20 8
7 2 7
7 8 5
7 24 5
7 13 10
7 26 3
7 29 9
7 18 2
7 21 5
7 0 2
7 12 4
7 4 3
7 25 4
7 23 9
8 19 10
8 13 9
8 29 4
8 16 3
8 7 8
8 17 5
8 28 8
8 6 5
8 10 2
8 11 5
8 24 4
8 25 6
8 15 2
8 4 5
8 21 1
8 12 7
8 1 8
8 22 1
8 9 10
8 2 4
8 3 9
8 27 3
8 14 8
8 26 1
8 5 9
8 0 4
8 18 9
8 20 9
8 23 2
9 8 3
9 21 7
9 2 7
9 28 2
9 23 9
9 5 1
9 25 10
9 11 4
9 4 6
9 13 9
9 16 5
9 26 2
9 10 4
9 12 10
9 19 10
9 3 5
9 24 5
9 27 10
9 7 5
9 14 7
9 6 6
9 0 4
9 20 8
9 15 10
10 26 5
10 29 7
10 20 5
10 11 7
10 16 8
10 8 1
10 7 10
10 0 5
10 17 7
10 22 10
10 9 10
10 23 4
10 21 5
10 15 6
10 24 2
10 5 3
10 25 8
10 28 10
10 3 6
10 13 4
10 27 5
10 1 5
10 18 5
10 6 2
10 19 3
10 2 7
11 6 1
11 25 1
11 0 6
11 19 8
11 24 6
11 15 3
11 8 5
11 27 4
11 3 1
11 4 3
11 26 10
11 16 9
11 28 2
11 23 5
11 21 6
11 1 7
11 17 7
11 5 2
11 7 5
11 14 2
11 29 10
11 10 6
11 13 1
11 18 7
11 2 1
11 12 3
12 11 5
12 18 2
12 4 8
12 5 5
12 16 8
12 20 2
12 21 10
12 0 10
12 17 9
12 2 9
12 14 4
12 19 5
12 24 5
12 13 6
12 22 2
12 8 9
12 15 1
12 10 7
12 25 1
12 7 2
12 28 8
12 23 9
12 26 9
12 9 9
12 27 6
12 1 9
13 7 7
13 22 7
13 11 2
13 5 6
13 9 1
13 15 6
13 20 10
13 28 9
13 14 1
13 25 10
13 12 3
13 6 10
13 18 6
13 2 6
13 21 10
13 1 2
13 19 9
13 8 9
13 0 1
13 26 9
13 16 5
13 29 8
13 3 7
13 27 10
13 24 9
14 6 9
14 29 4
14 18 8
14 22 10
14 3 9
14 15 4
14 2 8
14 28 9
14 0 1
14 27 5
14 10 7
14 16 4
14 12 2
14 17 4
14 8 7
14 4 9
14 9 4
14 5 9
14 19 10
14 1 7
14 13 9
14 26 6
14 7 1
14 20 3
14 23 3
14 25 8
14 24 2
15 26 10
15 20 7
15 22 10
15 3 2
15 25 4
15 10 7
15 12 6
15 7 4
15 24 8
15 18 2
15 29 6
15 21 5
15 13 6
15 1 1
15 27 4
15 6 5
15 4 4
15 16 7
15 11 8
15 19 2
15 2 9
15 9 9
15 23 3
15 28 4
15 0 7
15 8 6
15 14 3
15 17 6
15 5 2
16 14 9
16 26 5
16 11 4
16 7 9
16 25 8
16 8 1
16 5 3
16 1 1
16 24 7
16 17 7
16 13 10
16 29 1
16 0 4
16 19 8
16 12 2
16 18 2
16 22 1
16 20 4
16 6 6
16 9 3
16 4 6
16 28 2
16 15 8
16 23 9
17 12 10
17 3 4
17 7 7
17 29 10
17 19 6
17 2 6
17 23 9
17 8 9
17 20 5
17 10 1
17 15 6
17 27 7
17 21 5
17 9 5
17 25 3
17 26 1
17 28 10
17 4 9
17 13 7
17 22 9
17 16 1
17 6 6
17 24 8
18 8 5
18 23 9
18 0 10
18 19 8
18 5 4
18 7 2
18 27 9
18 25 9
18 10 2
18 24 3
18 15 6
18 16 5
18 4 1
18 26 5
18 29 5
18 14 3
18 9 7
18 6 2
18 13 3
18 28 8
18 3 9
18 1 6
18 2 4
18 21 2
18 17 3
18 20 5
19 14 5
19 16 10
19 21 10
19 8 2
19 1 10
19 24 7
19 26 7
19 22 3
19 18 10
19 25 3
19 10 2
19 0 1
19 9 6
19 5 10
19 15 1
19 6 4
19 3 8
19 20 7
19 2 10
19 12 1
19 11 8
19 27 3
19 7 9
19 17 6
19 4 7
19 28 5
19 13 3
19 29 6
20 13 6
20 5 3
20 24 5
20 10 3
20 26 6
20 27 10
20 16 9
20 0 1
20 8 9
20 23 5
20 22 5
20 17 5
20 14 7
20 12 6
20 7 7
20 28 3
20 25 5
20 18 5
20 11 8
20 9 7
20 1 8
20 29 7
20 4 7
20 15 5
21 11 4
21 14 10
21 25 6
21 7 4
21 0 4
21 12 1
21 9 10
21 23 10
21 27 2
21 18 6
21 16 10
21 13 6
21 1 1
21 5 6
21 28 1
21 29 3
21 15 1
21 2 7
21 8 1
21 4 6
21 22 5
21 26 8
21 6 2
21 19 5
21 10 6
21 24 3
21 20 6
22 3 2
22 23 1
22 8 1
22 1 3
22 10 10
22 7 10
22 19 2
22 15 4
22 13 4
22 6 3
22 11 5
22 24 7
22 12 8
22 21 10
22 27 5
22 14 3
22 4 10
22 5 2
22 17 6
22 28 4
22 26 7
22 25 5
22 18 8
22 16 1
22 20 8
22 2 4
22 9 1
22 29 10
23 21 8
23 29 10
23 27 10
23 7 4
23 18 4
23 5 2
23 14 6
23 15 10
23 19 3
23 11 9
23 0 5
23 3 7
23 10 7
23 17 9
23 25 3
23 16 2
23 2 7
23 22 5
23 13 9
23 8 5
23 9 1
23 26 3
23 24 8
23 28 9
23 12 4
24 2 7
24 13 2
24 11 8
24 7 9
24 18 9
24 3 4
24 22 3
24 21 2
24 9 10
24 27 2
24 28 5
24 23 10
24 17 8
24 26 5
24 19 10
24 1 6
24 15 6
24 10 6
24 0 2
24 20 8
24 5 5
24 25 6
24 6 10
24 29 1
24 12 8
24 8 8
24 14 1
24 4 10
25 3 10
25 13 2
25 14 10
25 6 9
25 26 6
25 11 2
25 8 7
25 29 5
25 10 6
25 17 6
25 27 9
25 16 10
25 18 3
25 2 5
25 7 3
25 20 10
25 5 4
25 22 4
25 12 4
25 19 7
25 23 10
25 28 2
25 9 5
25 15 4
25 0 4
26 10 2
26 24 6
26 13 1
26 11 7
26 7 5
26 19 2
26 4 2
26 2 6
26 23 4
26 5 10
26 27 6
26 16 4
26 6 3
26 28 4
26 25 2
26 21 3
26 15 2
26 18 5
26 9 7
26 20 6
26 3 3
26 0 10
26 12 7
26 1 2
26 22 9
26 29 4
27 24 5
27 26 2
27 28 6
27 10 5
27 17 8
27 15 10
27 23 8
