90 150
0 9 9
1 9 10
1 17 5
2 8 4
2 5 7
2 3 4
2 4 3
3 4 2
3 13 3
4 11 2
5 1 8
5 9 7
6 15 9
7 6 2
9 4 1
9 1 3
10 6 7
10 12 9
11 5 1
11 10 6
13 16 6
14 7 7
14 10 9
15 10 4
15 8 4
16 14 8
17 5 1
17 11 2
17 16 4
17 15 10
18 31 5
18 28 4
18 30 9
19 18 4
20 18 9
21 23 6
22 28 3
23 34 9
25 23 1
25 33 7
25 31 5
26 22 2
26 33 10
28 24 9
28 23 1
29 30 6
30 34 10
30 24 4
30 32 9
31 26 4
31 22 2
32 25 8
33 20 9
33 26 4
34 27 8
34 24 2
34 18 2
35 28 5
35 34 7
35 30 2
36 37 10
36 53 9
36 41 7
39 38 10
39 43 5
40 51 4
41 39 10
41 53 7
41 52 2
42 45 3
43 39 10
43 49 6
43 44 5
44 49 3
45 42 7
45 51 2
46 39 9
46 53 3
47 40 3
47 50 1
48 50 8
49 51 10
49 37 6
49 53 5
50 45 5
50 53 1
51 39 6
52 48 3
52 37 2
53 42 7
54 63 2
54 56 4
54 57 9
54 67 3
55 65 9
56 57 1
57 60 1
60 56 4
60 62 10
61 60 4
61 71 6
61 65 9
62 59 8
62 69 7
62 63 9
64 63 6
64 65 4
65 71 8
66 62 4
66 58 7
67 54 1
67 62 2
68 70 5
68 65 3
68 58 9
69 68 9
69 60 4
71 70 8
71 66 9
71 64 3
72 73 1
74 76 2
75 82 4
75 83 8
76 88 1
76 75 6
76 86 4
78 83 6
78 73 3
78 76 5
79 76 5
80 78 10
80 77 4
81 75 5
81 84 4
81 89 10
81 79 4
82 76 10
82 84 2
83 89 10
84 86 8
84 87 2
84 85 2
85 77 3
86 74 2
86 87 6
88 85 4
88 79 8
89 74 3
89 80 1
