500 499
0 1 5
0 499 2
2 3 5
2 499 9
3 4 10
3 5 5
3 155 6
5 6 10
6 7 5
6 14 6
7 8 8
7 9 3
9 10 8
9 11 9
11 12 3
11 13 9
14 15 5
14 22 10
15 16 8
15 17 8
15 18 7
15 19 5
15 20 5
15 21 4
22 23 5
22 30 3
22 67 5
23 24 3
23 29 1
24 25 8
24 26 4
26 27 6
27 28 9
30 31 7
31 32 6
31 33 6
33 34 6
33 35 1
33 39 1
35 36 9
35 38 7
36 37 8
39 40 1
39 41 4
41 42 3
41 43 9
41 44 7
41 45 4
41 53 6
45 46 2
45 47 8
47 48 1
47 52 8
48 49 1
48 50 6
50 51 3
53 54 3
54 55 9
54 58 1
55 56 5
56 57 9
58 59 6
58 60 1
58 61 10
61 62 9
61 63 4
61 64 9
61 65 2
61 66 6
67 68 5
68 69 7
69 70 8
69 72 1
70 71 3
72 73 3
72 74 4
72 75 7
75 76 8
75 77 5
77 78 5
78 79 3
79 80 5
79 81 2
79 100 8
81 82 1
81 83 9
81 84 10
81 85 5
81 86 2
86 87 2
87 88 3
87 91 6
88 89 5
89 90 1
91 92 5
92 93 5
92 94 2
94 95 3
95 96 7
96 97 9
96 98 2
98 99 10
100 101 6
100 109 2
101 102 10
102 103 4
102 104 4
102 105 2
105 106 7
106 107 3
107 108 3
109 110 5
110 111 9
110 112 1
110 115 6
110 117 3
112 113 5
112 114 5
115 116 4
117 118 6
118 119 10
118 120 6
118 121 2
121 122 7
121 129 9
122 123 10
122 127 9
123 124 5
124 125 4
124 126 10
127 128 7
129 130 9
129 131 8
131 132 3
131 133 9
131 137 4
131 145 4
133 134 5
134 135 6
134 136 3
137 138 3
138 139 6
139 140 2
139 144 9
140 141 4
141 142 6
142 143 2
145 146 6
146 147 10
147 148 8
148 149 5
148 150 5
148 151 9
151 152 10
151 154 8
152 153 6
155 156 2
155 176 4
155 201 5
156 157 4
157 158 3
158 159 7
158 162 2
159 160 2
160 161 2
162 163 6
162 169 4
163 164 10
164 165 6
164 167 7
165 166 10
167 168 8
169 170 3
169 172 1
169 173 8
170 171 2
173 174 3
174 175 4
176 177 2
177 178 9
178 179 4
178 181 4
179 180 8
181 182 9
182 183 6
183 184 9
184 185 7
184 186 3
184 187 7
187 188 8
188 189 10
189 190 5
190 191 4
190 192 8
192 193 5
192 194 6
192 195 7
192 196 8
196 197 5
196 199 5
197 198 6
199 200 5
201 202 4
202 203 2
202 205 8
202 207 5
202 213 2
203 204 1
205 206 4
207 208 5
207 209 9
207 210 4
207 211 10
207 212 8
213 214 10
213 215 6
215 216 1
215 220 9
216 217 4
216 218 4
218 219 5
220 221 9
220 222 9
222 223 9
222 227 1
223 224 5
224 225 1
224 226 10
227 228 1
228 229 5
228 230 6
228 237 9
230 231 3
230 234 1
231 232 5
231 233 1
234 235 5
234 236 7
237 238 7
238 239 9
239 240 6
239 242 5
239 244 9
240 241 7
242 243 2
244 245 6
245 246 9
246 247 2
247 248 3
248 249 7
250 251 1
250 499 6
251 252 10
252 253 2
253 254 5
254 255 2
255 256 6
255 263 8
255 331 10
256 257 4
256 259 8
256 260 4
257 258 4
260 261 8
261 262 1
263 264 1
263 265 6
263 308 3
265 266 7
266 267 10
266 273 9
267 268 9
