100 528
0 7 7
0 73 1
0 98 9
0 79 1
0 47 3
0 24 1
0 18 7
0 69 6
1 61 2
1 6 3
1 22 6
1 77 2
2 60 7
2 22 8
2 24 3
2 92 10
2 54 8
2 38 1
3 5 3
3 8 2
3 58 1
3 80 1
3 95 9
3 90 2
4 46 2
4 91 6
4 37 4
4 38 1
4 64 6
5 22 5
5 56 10
5 64 6
5 54 5
5 32 9
5 3 10
5 66 8
5 65 2
6 92 7
6 65 10
6 72 5
6 96 8
6 36 5
7 55 6
7 95 3
7 87 7
7 4 10
7 37 6
8 66 2
8 42 3
8 49 3
8 81 7
8 21 7
8 9 10
8 72 7
9 33 9
9 50 9
9 40 10
9 83 10
9 21 7
9 42 2
9 98 8
10 88 9
10 77 9
11 51 2
11 38 4
11 42 1
11 66 8
12 70 7
12 38 3
13 15 4
13 74 9
13 33 2
13 97 1
13 52 8
13 92 9
13 45 5
14 69 1
14 63 3
14 9 4
14 71 2
15 47 5
15 4 10
15 40 1
15 65 8
15 82 6
16 71 5
16 53 9
16 75 1
16 26 7
16 52 10
17 51 1
17 30 4
17 76 4
17 26 8
17 81 1
17 21 8
17 75 5
17 59 9
17 8 2
18 98 4
18 41 10
18 48 10
18 80 7
18 56 7
18 52 6
18 43 10
19 5 6
19 84 4
19 4 1
19 9 7
19 74 10
20 6 5
20 85 4
20 11 5
20 17 6
20 16 8
20 39 4
21 17 5
21 87 4
21 8 6
21 57 10
21 15 9
21 0 2
21 46 1
21 55 8
22 44 9
22 92 1
22 55 6
22 24 5
22 5 4
22 95 3
22 96 2
22 19 2
23 78 6
23 95 5
23 54 2
23 10 4
23 62 6
23 94 10
23 80 5
23 98 6
23 89 8
24 17 5
24 4 7
24 67 9
24 8 9
24 25 7
24 9 8
24 23 9
24 16 8
25 32 3
25 87 10
26 61 1
26 1 3
26 36 8
26 51 9
26 90 2
27 57 8
27 29 1
27 99 1
27 80 2
27 72 1
27 28 3
28 69 7
28 53 4
28 6 9
28 77 4
28 99 9
29 8 9
29 36 2
29 10 3
29 48 2
30 51 6
30 26 5
30 14 6
30 71 7
32 18 6
32 0 8
32 10 9
32 58 4
