80 461
0 43 10
0 46 8
0 20 6
0 64 4
0 58 5
0 41 4
2 76 9
2 56 4
2 31 2
2 35 4
2 18 10
2 19 8
2 64 9
2 74 2
2 42 4
2 73 10
2 14 4
2 79 4
2 3 4
3 18 10
4 51 9
4 18 1
4 75 4
4 54 7
4 58 9
4 21 1
5 47 3
6 72 6
6 1 5
6 25 7
6 18 8
6 66 5
6 14 1
6 76 8
6 9 8
6 58 4
6 75 10
6 13 6
6 15 10
6 54 6
6 43 4
9 31 9
9 77 9
9 14 1
9 58 1
9 22 3
9 55 5
9 23 8
9 6 5
9 8 3
9 60 9
9 43 3
10 44 4
10 76 3
10 20 8
10 35 3
10 43 7
10 67 10
10 27 10
11 51 9
11 48 4
12 33 4
12 38 3
13 71 6
15 4 1
15 53 3
15 28 6
15 44 2
15 12 5
15 14 5
16 6 10
16 54 3
16 51 3
16 50 3
16 26 6
17 70 9
17 50 9
17 28 5
17 76 4
17 69 1
17 27 5
17 45 3
17 72 6
18 39 7
18 55 10
18 63 8
18 62 3
18 75 8
18 38 2
18 77 8
18 73 9
18 43 2
18 66 9
18 26 2
18 22 7
20 33 8
20 57 7
20 79 4
20 43 10
21 67 2
21 63 2
21 15 5
21 31 4
21 68 2
21 23 2
21 66 6
21 28 1
21 53 9
21 60 5
23 71 7
23 19 6
25 73 8
25 36 3
25 35 9
25 3 9
25 48 2
25 30 5
25 26 2
25 34 5
25 49 5
26 60 5
26 72 3
26 64 2
26 49 10
26 8 4
26 7 3
26 41 7
27 25 4
27 37 4
27 54 3
27 51 8
27 20 7
27 18 9
27 44 1
27 74 7
27 23 7
27 4 7
28 34 3
28 69 7
28 13 7
28 51 10
28 4 5
28 55 10
28 41 1
29 31 2
29 54 9
29 76 7
29 39 7
29 61 10
29 47 6
29 71 10
29 70 1
30 18 2
30 10 7
31 35 9
31 41 2
31 2 1
31 33 2
31 40 5
31 14 2
31 64 9
31 28 2
31 67 5
31 8 2
31 47 9
32 22 9
32 24 2
32 76 3
32 46 3
32 35 1
32 42 4
32 17 6
32 40 10
32 43 3
32 65 4
32 63 9
32 71 8
32 79 1
32 30 9
32 21 7
32 16 3
32 14 6
32 39 9
32 48 7
32 33 9
32 15 10
32 38 2
32 8 6
32 29 9
32 9 10
32 51 6
33 17 7
33 10 6
33 65 8
33 59 8
33 18 7
33 78 7
33 13 5
34 19 7
34 76 3
34 17 3
34 13 4
34 8 3
34 60 3
34 52 1
34 11 7
34 61 2
34 32 9
34 20 9
35 72 10
35 65 4
35 43 5
35 16 9
35 69 6
35 25 5
35 51 7
36 27 10
36 48 9
36 17 6
36 69 5
36 23 5
37 2 8
37 61 3
37 41 9
37 4 9
37 22 5
37 11 10
37 59 10
37 65 4
37 42 3
37 36 9
37 18 8
37 35 8
38 13 5
38 71 1
38 28 1
38 59 10
38 64 4
39 46 2
39 78 4
39 64 9
39 28 3
39 49 5
39 76 2
39 65 3
39 56 10
39 75 10
40 57 10
40 5 4
40 7 7
40 48 5
40 45 10
40 30 2
41 3 7
41 58 5
41 70 4
41 42 3
41 21 6
41 0 8
41 34 7
41 73 8
42 25 4
42 0 10
42 12 7
42 75 10
42 51 10
42 65 3
42 24 9
42 79 3
42 76 3
42 28 9
42 77 5
42 46 10
42 10 10
42 61 4
42 20 7
44 51 9
45 56 3
45 11 9
45 22 8
45 58 3
45 28 6
45 60 6
45 3 3
45 46 10
45 0 8
45 18 5
46 67 7
47 21 2
47 52 2
47 61 2
47 0 7
47 50 3
47 30 2
47 18 10
47 62 10
47 35 1
47 28 4
47 3 10
47 7 7
47 55 2
48 31 9
48 44 4
48 76 9
48 22 6
48 24 10
48 71 10
48 10 1
48 70 8
48 43 7
48 16 10
48 30 5
48 67 10
48 52 2
48 65 4
48 66 7
48 12 7
48 1 2
49 10 9
49 42 10
49 64 8
49 78 7
49 18 2
49 35 4
50 33 10
50 24 5
50 49 2
50 22 1
50 21 6
50 4 5
52 76 6
53 26 3
53 62 2
54 19 3
54 45 7
54 38 7
54 37 3
54 10 7
54 22 2
54 51 10
54 57 7
54 24 5
54 70 7
54 77 6
54 17 1
54 27 10
54 40 10
54 41 2
56 25 5
56 36 2
57 39 7
57 30 10
57 68 5
57 28 3
57 78 9
57 4 7
57 47 4
57 12 9
58 38 8
58 78 1
58 77 7
58 4 1
60 4 5
61 56 5
61 49 9
61 38 7
61 64 1
61 43 4
61 55 9
61 52 6
61 4 6
62 59 2
62 33 1
62 67 9
62 78 1
62 56 3
62 30 8
62 15 5
62 11 3
62 69 8
62 66 10
62 24 10
62 6 1
62 55 6
62 14 6
62 41 4
66 38 4
66 46 3
66 59 8
66 77 9
66 63 1
66 18 5
66 20 7
66 40 4
66 71 2
66 78 6
66 60 7
66 7 7
66 8 5
66 72 8
66 37 3
66 24 3
67 30 10
67 4 8
67 31 5
67 25 4
67 11 8
67 32 9
67 55 10
67 44 1
67 68 8
68 37 3
68 39 8
68 24 8
68 64 4
68 29 10
68 69 6
68 49 3
68 36 3
68 59 4
70 33 4
70 31 9
70 6 3
70 9 3
70 78 2
73 59 6
74 33 7
74 53 3
74 30 6
74 49 5
74 18 5
74 24 7
74 77 7
74 63 3
74 42 6
74 62 7
74 28 8
74 14 7
74 52 6
74 56 10
76 6 7
77 30 3
77 11 6
77 62 10
77 47 3
77 48 1
77 63 3
78 64 6
78 19 3
78 40 5
78 52 2
78 49 10
79 4 4
79 39 4
79 32 5
79 20 10
79 43 4
79 75 7
79 61 7
79 34 4
79 14 8
